region,year,party_raw,votes,vote_share_pct,seats,vote_delta,vote_share_delta_pct,seats_delta,total_votes_cast,total_valid_votes,total_seats,invalid_votes_total,source_url,region_name,party_code,party_name,election_type,source_type,value
KU051,2012,Center Party of Finland,1130,36.3,10,-59,-1.3,-1,3133,3114,27,19,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_051.html,Eurajoki,KESK,Suomen Keskusta,municipal,official_html,1130
KU051,2012,National Coalition Party,421,13.5,4,-5,0.0,1,3133,3114,27,19,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_051.html,Eurajoki,KOK,Kansallinen Kokoomus,municipal,official_html,421
KU051,2012,True Finns,346,11.1,3,181,5.9,2,3133,3114,27,19,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_051.html,Eurajoki,PS,Perussuomalaiset,municipal,official_html,346
KU051,2012,Social Democratic Party of Finland,937,30.1,8,-43,-0.9,-1,3133,3114,27,19,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_051.html,Eurajoki,SDP,Suomen Sosialidemokraattinen Puolue,municipal,official_html,937
KU051,2012,Left Alliance,228,7.3,2,-130,-4.0,-1,3133,3114,27,19,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_051.html,Eurajoki,VAS,Vasemmistoliitto,municipal,official_html,228
KU051,2012,Green League,19,0.6,0,-25,-0.8,0,3133,3114,27,19,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_051.html,Eurajoki,VIHR,Vihreä liitto,municipal,official_html,19
KU052,2012,Christian Democrats in Finland,85,5.8,1,14,0.8,0,1474,1467,21,7,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_052.html,Evijärvi,KD,Suomen Kristillisdemokraatit,municipal,official_html,85
KU052,2012,Center Party of Finland,879,59.9,14,-91,-8.0,-1,1474,1467,21,7,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_052.html,Evijärvi,KESK,Suomen Keskusta,municipal,official_html,879
KU052,2012,National Coalition Party,169,11.5,2,-20,-1.7,0,1474,1467,21,7,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_052.html,Evijärvi,KOK,Kansallinen Kokoomus,municipal,official_html,169
KU052,2012,True Finns,200,13.6,3,200,13.6,3,1474,1467,21,7,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_052.html,Evijärvi,PS,Perussuomalaiset,municipal,official_html,200
KU052,2012,Social Democratic Party of Finland,101,6.9,1,-97,-7.0,-2,1474,1467,21,7,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_052.html,Evijärvi,SDP,Suomen Sosialidemokraattinen Puolue,municipal,official_html,101
KU052,2012,Left Alliance,33,2.2,0,33,2.2,0,1474,1467,21,7,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_052.html,Evijärvi,VAS,Vasemmistoliitto,municipal,official_html,33
KU061,2012,Christian Democrats in Finland,231,2.6,1,-69,-0.6,0,8941,8890,43,51,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_061.html,Forssa,KD,Suomen Kristillisdemokraatit,municipal,official_html,231
KU061,2012,Center Party of Finland,1644,18.5,8,-649,-6.2,-3,8941,8890,43,51,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_061.html,Forssa,KESK,Suomen Keskusta,municipal,official_html,1644
KU061,2012,National Coalition Party,2354,26.5,12,798,9.7,5,8941,8890,43,51,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_061.html,Forssa,KOK,Kansallinen Kokoomus,municipal,official_html,2354
KU061,2012,True Finns,764,8.6,4,432,5.0,3,8941,8890,43,51,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_061.html,Forssa,PS,Perussuomalaiset,municipal,official_html,764
KU061,2012,Social Democratic Party of Finland,2220,25.0,11,-616,-5.5,-3,8941,8890,43,51,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_061.html,Forssa,SDP,Suomen Sosialidemokraattinen Puolue,municipal,official_html,2220
KU061,2012,Left Alliance,1298,14.6,6,-263,-2.2,-1,8941,8890,43,51,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_061.html,Forssa,VAS,Vasemmistoliitto,municipal,official_html,1298
KU061,2012,Green League,379,4.3,1,-40,-0.2,-1,8941,8890,43,51,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_061.html,Forssa,VIHR,Vihreä liitto,municipal,official_html,379
KU069,2012,Constituency association Vesa Puputti,171,5.4,1,171,5.4,1,3180,3163,27,17,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_069.html,Haapajärvi,Constituency association Vesa Puputti,Constituency association Vesa Puputti,municipal,official_html,171
KU069,2012,Center Party of Finland,1531,48.4,14,-333,-7.2,-2,3180,3163,27,17,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_069.html,Haapajärvi,KESK,Suomen Keskusta,municipal,official_html,1531
KU069,2012,National Coalition Party,315,10.0,2,-58,-1.2,-1,3180,3163,27,17,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_069.html,Haapajärvi,KOK,Kansallinen Kokoomus,municipal,official_html,315
KU069,2012,True Finns,369,11.7,3,256,8.3,2,3180,3163,27,17,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_069.html,Haapajärvi,PS,Perussuomalaiset,municipal,official_html,369
KU069,2012,Social Democratic Party of Finland,651,20.6,6,-121,-2.4,0,3180,3163,27,17,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_069.html,Haapajärvi,SDP,Suomen Sosialidemokraattinen Puolue,municipal,official_html,651
KU069,2012,Left Alliance,126,4.0,1,-82,-2.2,0,3180,3163,27,17,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_069.html,Haapajärvi,VAS,Vasemmistoliitto,municipal,official_html,126
KU071,2012,Christian Democrats in Finland,79,2.4,0,25,0.9,0,3335,3322,27,13,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_071.html,Haapavesi,KD,Suomen Kristillisdemokraatit,municipal,official_html,79
KU071,2012,Center Party of Finland,2002,60.3,18,28,4.9,1,3335,3322,27,13,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_071.html,Haapavesi,KESK,Suomen Keskusta,municipal,official_html,2002
KU071,2012,National Coalition Party,169,5.1,1,-114,-2.8,-1,3335,3322,27,13,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_071.html,Haapavesi,KOK,Kansallinen Kokoomus,municipal,official_html,169
